label,filters,value
"2/26/2024","bounced","1"
"2/27/2024","bounced","0"
"2/28/2024","bounced","0"
"2/29/2024","bounced","2"
"3/1/2024","bounced","2"
"3/2/2024","bounced","2"
"3/3/2024","bounced","0"
"2/26/2024","clicked","0"
"2/27/2024","clicked","0"
"2/28/2024","clicked","0"
"2/29/2024","clicked","0"
"3/1/2024","clicked","0"
"3/2/2024","clicked","0"
"3/3/2024","clicked","0"
"2/26/2024","delivered","0"
"2/27/2024","delivered","0"
"2/28/2024","delivered","0"
"2/29/2024","delivered","0"
"3/1/2024","delivered","0"
"3/2/2024","delivered","0"
"3/3/2024","delivered","0"
"2/26/2024","opened","0"
"2/27/2024","opened","0"
"2/28/2024","opened","0"
"2/29/2024","opened","0"
"3/1/2024","opened","0"
"3/2/2024","opened","0"
"3/3/2024","opened","0"
"2/26/2024","unsubscribed","0"
"2/27/2024","unsubscribed","0"
"2/28/2024","unsubscribed","0"
"2/29/2024","unsubscribed","0"
"3/1/2024","unsubscribed","0"
"3/2/2024","unsubscribed","0"
"3/3/2024","unsubscribed","0"